,word,word_score,listing_occurences,word_occurences,comment_occurences
0,nashville,97.5780895477235,4449,105776,87055
1,thoughtfulness,97.46220735785953,6949,7475,7458
2,muffins,97.44646436718048,4995,14467,14308
3,baked,97.38223960765997,8911,17128,16962
4,homemade,97.37824974715926,15128,33619,32734
5,meticulously,97.36417791898332,4736,5036,5028
6,goodies,97.34457156198926,14439,21415,21326
7,immaculate,97.33053937387369,48829,71583,71361
8,touches,97.3243738363661,119818,301320,298852
9,treats,97.29065051941559,23275,36002,35791
10,smelly,88.54787406686141,5626,6162,5969
11,refused,88.48886792452831,4834,5300,4945
12,mold,88.34231184731725,9934,13885,11806
13,cockroaches,88.27019867549669,4341,6040,5167
14,dirty,88.04958871915393,46862,76590,63299
15,odeur,87.81272554605889,4395,5265,5047
16,worst,87.74531657576476,14726,16868,15828
17,filthy,86.93357879234168,5731,6790,6115
18,disgusting,86.41363394283685,4965,5633,5245
19,sucio,86.22382305194805,4197,4928,4512
