,word,word_score,listing_occurences,word_occurences,comment_occurences
0,thoughtfulness,97.59926918392205,754,821,819
1,meticulously,97.59176029962546,501,534,534
2,nashville,97.50040588076125,448,11087,9156
3,goodies,97.4576048951049,1505,2288,2277
4,wildlife,97.44792973651192,447,797,785
5,homemade,97.41356309060589,1635,3598,3514
6,muffins,97.40242057488653,537,1322,1303
7,baked,97.3370598099497,947,1789,1768
8,immaculate,97.33426554800906,5187,7509,7485
9,breweries,97.33245208195638,666,1513,1496
10,smelly,88.55396825396825,579,630,617
11,olor,88.54054054054055,538,666,612
12,cockroaches,88.5375816993464,453,612,520
13,mold,88.2521915037087,1080,1483,1272
14,dirty,87.7858877823658,5051,8234,6852
15,unclean,87.32112068965517,422,464,442
16,worst,87.2152739346984,1584,1807,1695
17,filthy,87.0179257362356,664,781,714
18,disgusting,86.64403973509934,529,604,562
19,sucio,85.52772466539197,440,523,480
